image_id,category
0,77
1,81
2,52
3,72
4,58
5,2
6,75
7,67
8,51
9,15
10,77
11,15
12,75
13,52
14,58
15,9
16,77
17,81
18,86
19,2
20,97
21,39
22,51
23,4
24,65
25,4
26,75
27,65
28,51
29,9
30,97
31,86
32,2
33,100
34,63
35,100
36,100
37,51
38,58
39,56
40,72
41,77
42,77
43,56
44,72
45,77
46,51
47,19
48,57
49,41
50,12
51,25
52,95
53,60
54,87
55,19
56,60
57,47
58,54
59,82
60,62
61,95
62,70
63,12
64,70
65,95
66,82
67,62
68,57
69,47
70,54
71,47
72,83
73,51
74,51
75,83
76,73
77,37
78,73
79,87
80,37
81,73
82,74
83,24
84,74
85,73
86,24
87,37
88,51
89,20
90,87
91,85
92,37
93,73
94,87
95,41
96,11
97,40
98,76
99,46
100,1
101,76
102,41
103,40
104,102
105,69
106,11
107,83
108,46
109,35
110,94
111,72
112,28
113,29
114,72
115,76
116,28
117,46
118,35
119,94
120,102
121,83
122,93
123,11
124,77
125,37
126,37
127,35
128,85
129,77
130,83
131,78
132,85
133,41
134,34
135,95
136,21
137,88
138,34
139,88
140,70
141,83
142,77
143,58
144,36
145,49
146,44
147,10
148,80
149,59
150,58
151,23
152,36
153,81
154,50
155,59
156,23
157,96
158,74
159,50
160,44
161,90
162,8
163,80
164,42
165,8
166,42
167,44
168,96
169,74
170,59
171,23
172,86
173,99
174,63
175,89
176,99
177,89
178,59
179,23
180,44
181,68
182,36
183,99
184,89
185,96
186,68
187,96
188,89
189,99
190,36
191,59
192,89
193,23
194,68
195,99
196,89
197,46
198,99
199,86
200,63
201,44
202,42
203,8
204,23
205,59
206,74
207,96
208,50
209,74
210,96
211,23
212,59
213,42
214,80
215,8
216,90
217,44
218,80
219,10
220,44
221,50
222,81
223,36
224,23
225,58
226,59
227,36
228,58
229,49
230,70
231,88
232,34
233,77
234,83
235,41
236,85
237,78
238,83
239,77
240,88
241,21
242,34
243,35
244,37
245,85
246,77
247,37
248,94
249,35
250,46
251,28
252,76
253,72
254,29
255,11
256,93
257,83
258,102
259,83
260,11
261,28
262,72
263,94
264,35
265,46
266,76
267,1
268,69
269,102
270,40
271,41
272,40
273,11
274,41
275,87
276,46
277,76
278,51
279,37
280,24
281,73
282,74
283,73
284,37
285,85
286,87
287,20
288,87
289,73
290,37
291,24
292,74
